mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
1.4082488536834716,0.03392378513125158,0.07980060577392578,0.025326337812030954,5,3,"{'max_depth': 5, 'n_estimators': 3}",0.7017233760494919,0.7023204419889503,0.7045303867403315,0.7045303867403315,0.7029834254143646,0.7032176033866939,0.0011436130026143923,2,0.5637296399353351,0.6041220155169237,0.7086889562748744,0.6923515475942887,0.6278061604443619,0.6393396639531568,0.054239772029839914,7,0.7017233760494919,0.7023204419889503,0.7045303867403315,0.7045303867403315,0.7029834254143646,0.7032176033866939,0.0011436130026143923,2,0.5807472833683924,0.5823011139701437,0.5850009583126724,0.5850727164516287,0.5856874842530714,0.5837619112711817,0.0019069970764368043,17
1.5541258811950684,0.06076791229849038,0.07662343978881836,0.00951692862578501,5,5,"{'max_depth': 5, 'n_estimators': 5}",0.7023862129916041,0.701878453038674,0.7025414364640884,0.7027624309392265,0.7025414364640884,0.7024219939795363,0.00029703446643308416,23,0.6219325167609476,0.4936902191247475,0.5794167251081881,0.6222253356997934,0.49356446994902475,0.5621658533285403,0.05808932834677689,31,0.7023862129916041,0.701878453038674,0.7025414364640884,0.7027624309392265,0.7025414364640884,0.7024219939795363,0.00029703446643308416,23,0.5801855297050377,0.5796580913291737,0.5803886570028901,0.5804962121078991,0.5797973069884053,0.5801051594266813,0.0003269236805153785,31
1.881480836868286,0.08770332310308614,0.08279752731323242,0.00892096806581975,5,10,"{'max_depth': 5, 'n_estimators': 10}",0.7030490499337163,0.7029834254143646,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7028197547381245,0.00018077470756995803,10,0.7503929550571938,0.7505587877544441,0.4938750343396111,0.4938750343396111,0.49356446994902475,0.596453256287977,0.1257590006927524,13,0.7030490499337163,0.7029834254143646,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7028197547381245,0.00018077470756995803,10,0.5809162099200155,0.5806037400418602,0.5800868346234238,0.5800868346234238,0.5797973069884053,0.5802981852394258,0.00040386518325375293,30
3.7619539737701415,0.18894490713759887,0.08399877548217774,0.011611063675544,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.4936568193707335,0.4938750343396111,0.4938750343396111,0.4938750343396111,0.49356446994902475,0.4937692784677183,0.00013277536755249437,35,0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.5798834062994913,0.5800868346234238,0.5800868346234238,0.5800868346234238,0.5797973069884053,0.5799882434316336,0.00012378062766390402,35
6.458592367172241,0.3339566709558751,0.13269443511962892,0.03210826321280855,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.4936568193707335,0.4938750343396111,0.4938750343396111,0.4938750343396111,0.49356446994902475,0.4937692784677183,0.00013277536755249437,35,0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.5798834062994913,0.5800868346234238,0.5800868346234238,0.5800868346234238,0.5797973069884053,0.5799882434316336,0.00012378062766390402,35
13.073193883895874,1.3595811261301483,0.18365478515625,0.014921421530794956,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.4936568193707335,0.4938750343396111,0.4938750343396111,0.4938750343396111,0.49356446994902475,0.4937692784677183,0.00013277536755249437,35,0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.5798834062994913,0.5800868346234238,0.5800868346234238,0.5800868346234238,0.5797973069884053,0.5799882434316336,0.00012378062766390402,35
17.556915473937988,0.22744578622424264,0.25999674797058103,0.035527523784726726,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.4936568193707335,0.4938750343396111,0.4938750343396111,0.4938750343396111,0.49356446994902475,0.4937692784677183,0.00013277536755249437,35,0.7026071586389748,0.7027624309392265,0.7027624309392265,0.7027624309392265,0.7025414364640884,0.7026871775841486,9.448037681400046e-05,13,0.5798834062994913,0.5800868346234238,0.5800868346234238,0.5800868346234238,0.5797973069884053,0.5799882434316336,0.00012378062766390402,35
1.2209239959716798,0.11153600518971175,0.06841497421264649,0.015320727343049938,10,3,"{'max_depth': 10, 'n_estimators': 3}",0.6904551480335838,0.6959116022099447,0.6877348066298342,0.6859668508287293,0.6939226519337016,0.6907982119271587,0.0037081823162499407,31,0.5817041390933235,0.5973206580210247,0.5652876818278344,0.5518559157614895,0.5773978723791691,0.5747132534165683,0.01535235284197211,24,0.6904551480335838,0.6959116022099447,0.6877348066298342,0.6859668508287293,0.6939226519337016,0.6907982119271587,0.0037081823162499407,31,0.5891556377897266,0.594428671247585,0.5888565337974745,0.5843172128602415,0.5896959215765755,0.5892907954543205,0.0032095254927474084,12
2.2070900440216064,0.6044334698358113,0.08801956176757812,0.05663850671665,10,5,"{'max_depth': 10, 'n_estimators': 5}",0.6984091913389306,0.6994475138121546,0.6994475138121546,0.700110497237569,0.6985635359116023,0.6991956504224822,0.000629587432237148,29,0.5607632206560275,0.5633764499867847,0.5701543112527838,0.5741309839861393,0.5639630402002133,0.5664776012163897,0.004912978032794803,30,0.6984091913389306,0.6994475138121546,0.6994475138121546,0.700110497237569,0.6985635359116023,0.6991956504224822,0.000629587432237148,29,0.5822517866041259,0.5825868431003515,0.582831883854762,0.5827774861470905,0.582886014915603,0.5826668029243866,0.00023073296513382715,18
2.7325329780578613,0.4302086814641119,0.09531211853027344,0.018308588491332524,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.700618647812638,0.7029834254143646,0.7025414364640884,0.7020994475138121,0.701878453038674,0.7020242820487155,0.0007987650766219523,25,0.5538494722580347,0.6480551508336185,0.6107692413824105,0.5857952594001125,0.592508420667143,0.5981955089082638,0.03097341688727986,12,0.700618647812638,0.7029834254143646,0.7025414364640884,0.7020994475138121,0.701878453038674,0.7020242820487155,0.0007987650766219523,25,0.5805317231456705,0.5814187238801019,0.582009311033616,0.5818643912711898,0.5815012906913817,0.5814650880043919,0.0005158007426275872,24
